ID,维度,标题,优先级,前置条件,测试数据,操作步骤,预期结果,指引来源,关联工具,自动化建议,展开规则,生成时间,设计状态,终端覆盖类型,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,requiredEvidence,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
D1-41,D1安装,check_update 真实 MCP 返回契约,P1,隔离 HOME + 可控 registry 响应,up_to_date/update_available/dismissed/check_failed 四种响应,①启动真实 mcp-server ②initialize→tools/call(check_update) ③分别注入四种结果 ④解析 content JSON,tools/call isError=false；四态、currentVersion/latestStable/updateAvailable/dismissed/dismissExpiresAt/result 字段语义一致；失败不抛协议错误,设: §MCP Tool 定义; 实: mcp-protocol/tools.mjs,check_update,脚本,COMMON|<代表: 隔离进程>|<证据: MCP 四态返回契约>|<阻塞: 隔离 HOME>,2026-09-10,DESIGN_COVERED,COMMON,<代表: 隔离进程>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: MCP 四态返回契约>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-41,
D1-42,D1安装,dismiss 真实闭环与跨调用持久化,P1,隔离 HOME + 有可用更新,"check_update(dismiss=true,dismissVersion=target)",①首次 check_update 确认 update_available ②调用 dismiss ③检查实际 skip 文件 ④再次 check_update ⑤重启新 MCP 进程复查,拒绝调用写入正确 agent/plugin 路径；文件字段完整且 expireAt= dismissedAt+3天；同版本冷却内返回 dismissed；进程重启后仍生效,设: §冷却机制; 实: handleCheckUpdate/resolveSkipFilePath,check_update,脚本,COMMON|<代表: 隔离 HOME+CROSS_PROCESS>|<证据: skip 文件字段+重启复查>|<阻塞: 隔离 HOME>,2026-09-10,DESIGN_COVERED,COMMON,<代表: 隔离 HOME+CROSS_PROCESS>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: skip 文件字段+重启复查>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-42,
D1-45,D1安装,兜底提示真实序列与预热竞态,P1,隔离 MCP 进程 + 注入 update_available,initialize→check_update→首个非检查工具→第二个非检查工具；预热已完成/未完成,①启动两种时序 ②检查 check_update 与 upgrade 不附加 ③检查首个非检查工具是否附加 ④再次调用确认不重复,仅会话首个非检查工具携带 _updateInfo；检查/升级工具不携带；预热未完成时不阻塞正常工具，结果就绪后仍按既定一次性规则处理,设: §检测机制第二层; 实: mcp-protocol.dispatch(内部decorateResult)/mcp-server(内部updatePrewarm),check_update,脚本,COMMON|<代表: 隔离进程+预热竞态>|<证据: 兜底一次性消费时序>|<阻塞: 双时序注入>,2026-09-10,DESIGN_COVERED,COMMON,<代表: 隔离进程+预热竞态>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 兜底一次性消费时序>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165652,evidence/D1-45,
D1-65,D1安装,调试模式环境变量,P2,可设 env 的进程环境,HUAWEICLOUD_DEVKIT_DEBUG=1/true/off,①设 HUAWEICLOUD_DEVKIT_DEBUG=1 跑 queryDistTags ②核对 DEBUG 分支生效(打印调试日志) ③off 则无调试输出,DEBUG===1/true 时开启调试日志；未设/其他值不开启；不影响正常返回,实: update-check.mjs(211)/telemetry.mjs(81) DEBUG 判断,check_update,脚本,COMMON|<代表: 隔离进程>|<证据: 调试日志开关>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离进程>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 调试日志开关>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-65,
D1-66,D1安装,遥测开关与端点环境变量,P2,可设 env 的进程环境,HUAWEICLOUD_DEVKIT_TELEMETRY=off + HUAWEICLOUD_DEVKIT_TELEMETRY_ENDPOINT,①设 TELEMETRY=off ②核对 isTelemetryEnabled()=false ③设自定义 ENDPOINT ④核对 endpoint 取值,TELEMETRY!=off 时开遥测、=off 关闭；ENDPOINT 未设回退 DEFAULT_ENDPOINT、设了取自定义,实: telemetry.isTelemetryEnabled(175)/endpoint(180)/mcp-server(32),mcp-server,脚本,COMMON|<代表: 隔离进程>|<证据: 开关+端点取值>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离进程>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 开关+端点取值>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-66,
D1-67,D1安装,Agent toolkit 模式与 DSH 跳过安装环境变量,P2,可设 env 的进程环境,HUAWEICLOUD_AGENT_TOOLKIT_MODE=local + HUAWEICLOUD_DEVKIT_SKIP_DSH_PLUGIN_INSTALL=1,①设 AGENT_TOOLKIT_MODE=local 装 DSH ②核对 env 注入 ③设 SKIP_DSH=1 重装 ④核对跳过 DSH 插件安装,AGENT_TOOLKIT_MODE 注入 agent env(REQUIRED_ENV_KEYS 含 HCLOUD_BIN)；SKIP_DSH=1 时跳过 DSH 插件安装,实: setup-cli.mjs(249/2193)/mcp-config-merge.mjs(95),install,手动,COMMON|<代表: DSH 客户端>|<证据: env 注入+跳过安装>|<阻塞: 需 DSH 环境>,2026-09-19,DESIGN_COVERED,COMMON,<代表: DSH 客户端>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: env 注入+跳过安装>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-67,
D1-68,D1安装,图标离线与区域环境变量,P2,可设 env 的进程环境,HUAWEICLOUD_ICONS_OFFLINE=1 + HUAWEICLOUD_REGION/HW_REGION,①设 ICONS_OFFLINE=1 ②核对 getServiceIcon 离线分支(读本地而非网络) ③设 HUAWEICLOUD_REGION ④核对凭据 region 取值,ICONS_OFFLINE=1 时图标走本地 manifest 不联网；HUAWEICLOUD_REGION 优先于 HW_REGION 作为默认 region,实: icon-library.mjs(52)/credentials.mjs(133/261/284),get_service_icon/auth_init,脚本,COMMON|<代表: 隔离进程>|<证据: 离线图标+region取值>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离进程>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 离线图标+region取值>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-68,
D1-69,D1安装,CLI help 子命令,P2,已安装环境,hcloud-cli help 命令,①执行 help 子命令 ②核对输出帮助文本(命令列表/用法),help 子命令输出帮助且有退出码 0，非 TODO/空输出,实: setup-cli.mjs case 'help'(5062),install,脚本,COMMON|<代表: CLI>|<证据: help 输出>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: CLI>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: help 输出>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-69,
D1-70,D1安装,代理配置与 WebSocket 代理,P1,可设 proxy env/配置的进程环境,HTTP_PROXY/HTTPS_PROXY/NO_PROXY + proxy.json,①writeProxyConfig ②readProxyConfig 核对 ③getProxySettings(targetUrl) ④no_proxy 绕过 ⑤createProxyWebSocket 走代理,proxy.json 读写/clear 正确；getProxySettings 拼 env+file 且 no_proxy 命中返回 null；有代理时 WebSocket 走 undici ProxyAgent、无代理回退 globalThis.WebSocket,实: proxy-config.getProxySettings(60)/writeProxyConfig(23)/clearProxyConfig(35); proxy-agent.createProxyWebSocket(52)/getWebSocketImpl(73)/getProxyDispatcher(26),install,脚本,COMMON|<代表: 隔离进程+proxy夹具>|<证据: 配置读写+WS代理选择>|<阻塞: 需可控proxy>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离进程+proxy夹具>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 配置读写+WS代理选择>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-70,
D2-10,D2认证,R7 current档跟随,P1,KooCLI 多 profile（current=deploy）,~/.hcloud/config.json current=deploy,①构造 current=deploy ②readKooCliProfiles 解析 ③切换 current 再解析,resolveManagedProfile 返回 current 档；runHcloudConfigure 带 --cli-profile=,方: §五 R7; NR2-002,auth_status,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: current 档解析+--cli-profile>|<阻塞: 需真云凭证>,2026-09-07,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: current 档解析+--cli-profile>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-10,
D2-11,D2认证,R3 STS token拒绝落盘,P0,真云 AK/SK + securityToken,auth_switch persist + securityToken,①auth_switch persist+token ②观察返回 ③核对 S1 未写入 token,"返回 {status:error, scope:rejected}，token 永不落盘",方: §五 R3; NR2-003,auth_switch,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: scope=rejected+token 不落盘>|<阻塞: 需真云凭证>,2026-09-07,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: scope=rejected+token 不落盘>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-11,
D2-12,D2认证,R10 runtime非空禁止落盘,P1,runtime 凭据激活（auth_init）,runtimeActive 状态下 auth_sync,①auth_init 置 runtime ②auth_status 确认 runtimeActive ③auth_sync 观察,sync 返回 ok:false + auto-sync suppressed (R10)，不写 S1,方: §五 R10; NR2-004,huaweicloud_auth_init/auth_status/auth_sync,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: R10 suppressed 不写 S1>|<阻塞: 需真云凭证>,2026-09-07,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: R10 suppressed 不写 S1>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D2-12,
D2-13,D2认证,R9 configuredBySession优先env,P1,隔离 HOME + S1 + HW_ACCESS_KEY env,setConfiguredBySession(true) + env 注入,①写 S1+标记 ②注入 env ③resolveCredentials ④清除标记复查,标记时 S1 胜出；清除后 env 兜底恢复,方: §五 R9; NR2-005,auth_status,脚本,COMMON|<代表: Hermes 或 OpenCode>|<证据: S1 胜出/清除后 env 兜底>|<阻塞: 需真云凭证>,2026-09-07,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: S1 胜出/清除后 env 兜底>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-13,
D2-16,D2认证,import文件读取后擦除,P1,creds-import.json 存在,auth_switch mode=import,①放置 creds-import.json ②auth_switch mode=import ③检查文件存在性,读后无条件擦除（exists=False），密钥不留盘,方: auth_switch import 语义; NR2-008,auth_switch,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: 读后 exists=False 密钥不留盘>|<阻塞: 需真云凭证>,2026-09-07,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 读后 exists=False 密钥不留盘>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165652,evidence/D2-16,
D4-18,D4安全,confirm-not-deny审批语义,P0,真云+标准客户端,写操作触发确认流程,①发起写操作 ②观察确认对话框 ③分别确认/拒绝,写操作需显式确认，不被直接拒绝也不被直接放行,仓: issue-443修复+fix/issue-443-confirm-not-deny分支+test/issue-443-fix.test.mjs,plan_cli_command,半自动,CLIENT_MATRIX|<代表: 安全基线 Hermes+OpenCode>|<证据: 确认/拒绝路径>|<阻塞: 真云写操作>,2026-09-05,DESIGN_COVERED,CLIENT_MATRIX,<代表: 安全基线 Hermes+OpenCode>,Hermes（Hook）; OpenCode（非 Hook）,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,Hermes=Hook; OpenCode=非Hook,强断言：<证据: 确认/拒绝路径>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D4-18,
