"ID","展开类型","枚举对象","源用例","优先级","执行要点","预期结果","生成时间","requiredEvidence","designCaseId","expandedCaseId","design_status","terminalType","terminal","agent","OS","Node/npm","shell","TTY","installLayout","mcpTransport","hookSupport","owner","依赖","执行状态","执行时间","evidencePath","blockedReason"
"EXP-C4-11","D3-C4服务矩阵","DDS","D3-C4","P1","DDS 只读规划冒烟: list_operations + plan 只读命令","DDS 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-11","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-12","D3-C4服务矩阵","DCS","D3-C4","P1","DCS 只读规划冒烟: list_operations + plan 只读命令","DCS 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-12","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-13","D3-C4服务矩阵","SMN","D3-C4","P1","SMN 只读规划冒烟: list_operations + plan 只读命令","SMN 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-13","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-14","D3-C4服务矩阵","DMS","D3-C4","P1","DMS 只读规划冒烟: list_operations + plan 只读命令","DMS 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-14","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-15","D3-C4服务矩阵","WAF","D3-C4","P1","WAF 只读规划冒烟: list_operations + plan 只读命令","WAF 只读规划冒烟命令语法/参数正确；轻量创建→立即释放→归零验证","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-15","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-16","D3-C4服务矩阵","CDN","D3-C4","P1","CDN 只读规划冒烟: list_operations + plan 只读命令","CDN 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-16","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-17","D3-C4服务矩阵","ModelArts","D3-C4","P1","ModelArts 只读规划冒烟: list_operations + plan 只读命令","ModelArts 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-17","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-18","D3-C4服务矩阵","DEW","D3-C4","P1","DEW 只读规划冒烟: list_operations + plan 只读命令","DEW 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-18","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-19","D3-C4服务矩阵","CBR","D3-C4","P1","CBR 只读规划冒烟: list_operations + plan 只读命令","CBR 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-19","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-20","D3-C4服务矩阵","EVS","D3-C4","P1","EVS 只读规划冒烟: list_operations + plan 只读命令","EVS 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-20","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-21","D3-C4服务矩阵","EIP","D3-C4","P1","EIP 只读规划冒烟: list_operations + plan 只读命令","EIP 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-21","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
"EXP-C4-22","D3-C4服务矩阵","ELB","D3-C4","P1","ELB 只读规划冒烟: list_operations + plan 只读命令","ELB 只读规划冒烟命令语法/参数正确，规范路由可执行","2026-09-05","强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录","D3-C4","EXP-C4-22","DESIGN_COVERED","展开22服务矩阵","代表终端待确认","Hermes 代表终端; fake/fixture","Windows/Linux 代表环境；macOS 若声明支持则单独举证","Node >=22；npm/npx 按 OS 记录","PowerShell（Windows）/bash（Linux）/zsh（macOS）","non-TTY；需要交互时必须提供 PTY","隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture","stdio（适用时）；函数/fixture 层否则","按用例需要；未涉及则 n/a","测试负责人","源设计用例；独立 manifest；finally 清理","BLOCKED","20260914090134","","当前 Codex Windows 会话未提供该用例所需的真实 Hook/PTY/其他客户端或真云资源生命周期环境"
