﻿caseId,terminal,agent,os,arch,node,npm,shell,ttyMode,installLayout,mcpTransport,hookSupport,executionLevel,requiredEvidence,status,blockedReason
D1-41,CLIENT_MATRIX,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,mcp-stdio,check_update 四态返回契约 isError=false,PASS,stdio 协议闭环；非 Hook 客户端适配需 D1-52 布局证据
D1-42,CROSS_PROCESS,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback+runtime-dep,stdio,n/a,process-lifecycle,7 步闭环（提示消费→dismiss→落盘→冷却→重启复查）；真实安装路径 skip=<pluginDir>/.update-skip.json,PASS,
D1-43,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,mcp-stdio,参数边界 a/b/d 通过；43c registry 失败+dismiss=true 返回 up_to_date 且写 current 伪冷却,SPEC-MISMATCH,43c 待开发裁决是否接受；功能无害（1.1.4 仍可提醒，已实测）
D1-44,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,function,now==expireAt 边界/坏日期/负时长安全降级,PASS,
D1-45,CLIENT_MATRIX,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,mcp-stdio,兜底一次性消费 + 预热竞态双时序,PASS,
D1-46,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,"TTL/节流/inflight/恢复 a-d,h 通过；46g 注入 doQuery reject 直抛未封装 check_failed",SPEC-MISMATCH,46g 生产路径不可达（queryDistTags 恒 resolve null），待开发裁决是否防御封装
D1-47,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,共享缓存按 current 重算，dismissed 结论不复用,PASS,
D1-48,CROSS_PROCESS,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,process-lifecycle,双 HOME 双进程 skip 隔离 + 重启持久化 + 新版本无视冷却,PASS,
D1-49,CLIENT_MATRIX,probe(stdio)+cli,win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,mcp-stdio+cli,7 断言：up_to_date 不执行/非法 version 拒绝/空串=默认 latest/check_failed 不误报/unknown target CLI exit=1/target 默认 all,PASS,
D1-49,OS_MATRIX,probe(stdio),linux,x64,声明>=22,声明npm,声明bash,non-tty,none,stdio,n/a,function,handler 参数校验平台无关逻辑需 Linux 复跑确认,PASS,2026-09-10T20:34+08:00 Ubuntu24.04-aarch64 实机补跑：d1-49-d1-55-ext 探针 14 PASS + 1 OBSERVED_SPEC(D1-55b 进程级共享 Linux 复现) + 1 BLOCKED(NOT_RUN)(session)，与 Windows 完全一致；证据 linux-logs/linux-d1-49-d1-55-ext.*
D1-50,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,spawn 记录器：stable→latest/pre→next/target 传递/version 拒绝/handler up_to_date 守卫,PASS,
D1-51,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,function,ENOENT/非零退出/manual 正确/不污染 skip/恢复可重试,PASS,
D1-52,CLIENT_MATRIX,opencode(非Hook),win32,x64,22.23.2,10.9.8,powershell,non-tty,runtime-dep,stdio,无hook,real-install-upgrade,真实 1.1.2 安装→真实 npx 升级 1.1.3（tarball 命中 0→1）→文件同步→重启 serverInfo 1.1.3→opencode.json 配置未丢失→undici 依赖安装,PASS,OpenCode 布局=非 Hook 客户端代表；agent 会话内提示消费未达（止于 MCP 进程级，见 AGENT_E2E）
D1-52,OS_MATRIX,opencode(非Hook),linux,x64,声明>=22,声明npm,声明bash,non-tty,runtime-dep,stdio,无hook,real-install-upgrade,Linux 真实安装/升级/重启链未验,BLOCKED,2026-09-10T20:34+08:00 Ubuntu24.04-aarch64 实机补跑部分达成：真实安装链 PASS(Phase1 安装 1.1.2→插件落点/undici/opencode.json 全过)+配置保留 PASS；升级链 p3a-c 未获证据=探针 npx.cmd 硬编码+registry 注入平台限制(测试机无外网，npx 子进程 env 未注入 fixture 致崩)，探针平台化补丁后重跑；证据 linux-logs/linux-d1-upgrade-real.*
D1-52,CLIENT_MATRIX,hermes(Hook),win32,x64,22.23.2,10.9.8,powershell,non-tty,runtime-dep,stdio,有hook,agent-session+real-install-upgrade,真实隔离 Hermes 实例（profile nr3-test）：真实 npx 安装 1.1.3→MCP 启动→提示消费→升级 1.1.2→1.1.3→重启提示+重启生效→拒绝 dismiss(3 天冷却)→离线降级；48 工具调用全成功,PASS,证据：run-logs/hermes-e2e-s*.out.log + hermes-e2e-manifest.json；升级仅落隔离 hermes-profile-runtime，未触真实用户目录
D1-52,CLIENT_MATRIX,codearts-space(Hook),win32,x64,声明>=22,声明npm,声明powershell,non-tty,runtime-dep,stdio,有hook,real-install-upgrade,CodeArtsSpace 客户端真实安装/升级/重启未验,BLOCKED,无 CodeArtsSpace 可用环境（120.46.40.202 SSH 无凭据不可达）；影响=该客户端 Hook 生命周期未验收；解除=接入 CodeArtsSpace 客户端后补证据
D1-53,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,mcp-stdio,坏 JSON→check_failed、恢复后可检测（/__set 注入）,PASS,
D1-54,AGENT_E2E,hermes,win32,x64,22.23.2,10.9.8,powershell,non-tty,runtime-dep,stdio,有hook,agent-session,真实会话（隔离 profile nr3-test）：SKILL retrieve→check_update update_available→澄清征询（未同意不动作）→同意→真实 upgrade 1.1.2→1.1.3+重启提示→新会话重启生效 up_to_date→拒绝 dismiss(3 天冷却落盘)→离线 check_failed 不阻塞 check_cli,PASS,证据：run-logs/hermes-e2e-s1b/s2/s3/s4/s6.out.log + hermes-e2e-manifest.json（48 工具调用）；D1-54b 规格裁决项（hintConsumed 会话级）仍由开发裁决，会话级 PASS 仅指真实 Agent 用户流
D1-55,CROSS_PROCESS,probe(remote 双请求序列),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,http-remote,n/a,process-shared-state,"同进程双请求序列：A 消费 _updateInfo 后 B 拿不到（hintConsumed 模块级单例,按进程共享）；dismiss 按 server 共享；新版本发布+重启后 B 正常提醒 1.1.4——证据级别=PROCESS_SHARED_STATE（remote transport 无 session 支持，非完整会话生命周期验证）",SPEC-MISMATCH,D1-55b 违反设计文档「会话中第一个 tool 调用附加」承诺（进程级共享 vs 会话级隔离）；开发裁决改会话级 key 或明确按进程语义；待产品支持 session 后补真实会话验证
D1-55-session,CROSS_PROCESS,probe(remote 真实会话),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,http-remote,n/a,not-run,真实 MCP session 隔离（独立 session 标识/header/长连接 A/B 会话交错调用）：协议探测 initialize 响应无 MCP-Session-Id，源码确认 mcp-server-remote.mjs 无 session 状态绑定,BLOCKED,NOT_RUN：被测 remote transport 无 session 支持，无法建立真实 session 流程；影响=「会话级隔离」需产品支持 session 后才可验收（当前按进程共享语义记录）；解除=产品或 remote transport 增加 session 标识与绑定后复用 A/B 交错序列重测
D1-55,OS_MATRIX,probe(remote 双请求序列),linux,x64,声明>=22,声明npm,声明bash,non-tty,fallback,http-remote,n/a,process-shared-state,remote 多请求序列 Linux 复跑未验,PASS,2026-09-10T20:34+08:00 Ubuntu24.04-aarch64 实机补跑：remote 双请求序列断言与 Windows 一致(PROCESS_SHARED_STATE+OBSERVED_SPEC 复现)；证据 linux-logs/linux-d1-49-d1-55-ext.*
D1-55,COMMON,probe(remote),win32,x64,22.23.2,10.9.8,powershell,tty,fallback,http-remote,n/a,mcp-remote,TTY 交互（升级确认/提示）未验,BLOCKED,无 TTY 会话环境（powerShell 管道非 TTY）；解除=PTY 会话执行交互流
